name,value
00000,6.001
南宁,6.002
聊城,6.003
南京,6.004
南昌,6.005
佛山,6.006
沈阳,6.007
大庆,6.008
绍兴,6.009
太原,6.01
盐城,6.011
咸宁,6.012
兴安盟,6.013
廊坊,6.014
石家庄,6.015
哈尔滨,6.016
温州,6.017
秦皇岛,6.018
深圳,6.019
西安,6.02
无锡,6.021
赣州,6.022
遵义,6.023
绵阳,6.024
大连,6.025
济南,6.026
东莞,6.027
唐山,6.028
上海,6.029
昆明,6.03
福州,6.031
北京,6.032
海口,6.033
兰州,6.034
珠海,6.035
开封,6.036
鄂州,6.037
广州,6.038
岳阳,6.039
宁波,6.04
张家口,6.041
重庆,6.042
郑州,6.043
台州,6.044
株洲,6.045
常德,6.046
金华,6.047
长沙,6.048
鞍山,6.049
杭州,6.05
洛阳,6.051
邯郸,6.052
湘潭,6.053
惠州,6.054
江门,6.055
舟山,6.056
青岛,6.057
合肥,6.058
自贡,6.059
潍坊,6.06
中山,6.061
武汉,6.062
苏州,6.063
扬州,6.064
天津,6.065
成都,6.066
烟台,6.067
厦门,6.068
芜湖,6.069